date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"綠豆芽"	null	8.0	1730
085年04月01日	"台北一"	"綠豆芽"	null	8.0	5800
085年04月01日	"高雄市"	"綠豆芽"	null	11.0	4380
085年04月01日	"台北二"	"黃豆芽"	null	13.0	70
085年04月01日	"台北一"	"黃豆芽"	null	13.0	390
085年04月01日	"台北二"	"豌豆芽"	null	30.0	222
085年04月01日	"台北一"	"豌豆芽"	null	25.0	632
085年04月01日	"台北二"	"苜蓿芽"	null	12.0	75
085年04月01日	"台北一"	"苜蓿芽"	null	9.0	60
085年04月02日	"台北二"	"綠豆芽"	null	8.0	1700
085年04月02日	"台北一"	"綠豆芽"	null	8.0	6710
085年04月02日	"高雄市"	"綠豆芽"	null	10.0	4190
085年04月02日	"台北二"	"黃豆芽"	null	13.0	70
085年04月02日	"台北一"	"黃豆芽"	null	13.0	700
085年04月02日	"台北二"	"豌豆芽"	null	30.0	150
085年04月02日	"台北一"	"豌豆芽"	null	25.0	729
085年04月02日	"台北二"	"苜蓿芽"	null	10.0	75
085年04月02日	"台北一"	"苜蓿芽"	null	9.0	60
085年04月03日	"台北二"	"綠豆芽"	null	8.0	1880
085年04月03日	"台北一"	"綠豆芽"	null	8.0	5750
085年04月03日	"高雄市"	"綠豆芽"	null	11.0	12320
085年04月03日	"台北二"	"黃豆芽"	null	13.0	70
085年04月03日	"台北一"	"黃豆芽"	null	13.0	450
085年04月03日	"台北二"	"豌豆芽"	null	30.0	210
085年04月03日	"台北一"	"豌豆芽"	null	25.0	918
085年04月03日	"台北二"	"苜蓿芽"	null	12.0	75
085年04月03日	"台北一"	"苜蓿芽"	null	8.0	60
085年04月04日	"高雄市"	"綠豆芽"	null	10.0	6830
085年04月06日	"台北二"	"綠豆芽"	null	8.0	1770
085年04月06日	"台北一"	"綠豆芽"	null	8.0	5910
085年04月06日	"台北二"	"黃豆芽"	null	13.0	70
085年04月06日	"台北一"	"黃豆芽"	null	13.0	470
085年04月06日	"台北二"	"豌豆芽"	null	30.0	192
085年04月06日	"台北一"	"豌豆芽"	null	25.0	883
085年04月07日	"台北二"	"綠豆芽"	null	8.0	1380
085年04月07日	"台北一"	"綠豆芽"	null	8.0	5470
085年04月07日	"高雄市"	"綠豆芽"	null	10.0	3780
085年04月07日	"台北二"	"黃豆芽"	null	13.0	70
085年04月07日	"台北一"	"黃豆芽"	null	13.0	470
085年04月07日	"台北二"	"豌豆芽"	null	30.0	228
085年04月07日	"台北一"	"豌豆芽"	null	25.0	858
085年04月08日	"台北二"	"綠豆芽"	null	8.0	1630
085年04月08日	"台北一"	"綠豆芽"	null	8.0	5720
085年04月08日	"高雄市"	"綠豆芽"	null	10.0	3800
085年04月08日	"台北二"	"黃豆芽"	null	13.0	140
085年04月08日	"台北一"	"黃豆芽"	null	13.0	500
085年04月08日	"台北二"	"豌豆芽"	null	30.0	120
085年04月08日	"台北一"	"豌豆芽"	null	25.0	914
085年04月08日	"台北二"	"苜蓿芽"	null	20.0	75
085年04月08日	"台北一"	"苜蓿芽"	null	8.5	60
085年04月09日	"台北二"	"綠豆芽"	null	8.0	1310
085年04月09日	"台北一"	"綠豆芽"	null	8.0	6500
085年04月09日	"高雄市"	"綠豆芽"	null	10.0	3600
085年04月09日	"台北二"	"黃豆芽"	null	13.0	70
085年04月09日	"台北一"	"黃豆芽"	null	13.0	500
085年04月09日	"台北二"	"豌豆芽"	null	30.0	240
085年04月09日	"台北一"	"豌豆芽"	null	25.0	974
085年04月09日	"台北二"	"苜蓿芽"	null	14.0	75
085年04月09日	"台北一"	"苜蓿芽"	null	8.5	30
085年04月10日	"台北二"	"綠豆芽"	null	8.0	1310
085年04月10日	"台北一"	"綠豆芽"	null	8.0	5420
085年04月10日	"高雄市"	"綠豆芽"	null	10.0	3640
085年04月10日	"台北二"	"黃豆芽"	null	13.0	70
085年04月10日	"台北一"	"黃豆芽"	null	13.0	400
085年04月10日	"台北二"	"豌豆芽"	null	30.0	198
085年04月10日	"台北一"	"豌豆芽"	null	25.0	420
085年04月10日	"台北二"	"苜蓿芽"	null	12.0	100
085年04月10日	"台北一"	"苜蓿芽"	null	85.0	9
085年04月11日	"台北二"	"綠豆芽"	null	7.0	2070
085年04月11日	"台北一"	"綠豆芽"	null	8.0	7130
085年04月11日	"高雄市"	"綠豆芽"	null	10.0	3700
085年04月11日	"台北二"	"黃豆芽"	null	13.0	60
085年04月11日	"台北一"	"黃豆芽"	null	13.0	600
085年04月11日	"台北二"	"豌豆芽"	null	30.0	78
085年04月11日	"台北一"	"豌豆芽"	null	25.0	1034
085年04月11日	"台北二"	"苜蓿芽"	null	12.0	75
085年04月11日	"台北一"	"苜蓿芽"	null	85.0	6
085年04月12日	"高雄市"	"綠豆芽"	null	11.0	3480
085年04月13日	"台北一"	"綠豆芽"	null	8.0	4540
085年04月13日	"高雄市"	"綠豆芽"	null	10.0	3410
085年04月13日	"台北一"	"黃豆芽"	null	13.0	450
085年04月13日	"台北一"	"豌豆芽"	null	25.0	1069
085年04月13日	"台北一"	"苜蓿芽"	null	85.0	3
085年04月14日	"台北一"	"綠豆芽"	null	8.0	6330
085年04月14日	"高雄市"	"綠豆芽"	null	10.0	3600
