date	mktname	sbtype	transformation	middleprice	quantity
086年04月14日	"台中市"	null	null	25.0	110
093年04月01日	"台北一"	null	null	60.0	30
093年04月02日	"台北二"	null	null	50.0	84
093年04月02日	"台北一"	null	null	60.0	75
093年04月06日	"台北一"	null	null	70.0	150
093年04月11日	"台北一"	null	null	60.0	75
093年04月13日	"台北一"	null	null	60.0	75
093年04月16日	"台北一"	null	null	60.0	30
093年04月17日	"台北一"	null	null	60.0	75
093年04月21日	"台北一"	null	null	60.0	75
093年04月23日	"台北一"	null	null	60.0	75
093年04月27日	"台北一"	null	null	60.0	75
095年04月02日	"台北二"	null	null	50.0	75
095年04月03日	"台北一"	null	null	40.0	50
095年04月20日	"台北一"	null	null	40.0	15
095年04月22日	"台北一"	null	null	10.0	200
095年04月28日	"台北一"	null	null	10.0	200
095年04月29日	"台北一"	null	null	15.0	200
096年04月15日	"台北一"	null	null	45.0	50
096年04月18日	"台北一"	null	null	40.0	50
096年04月23日	"花蓮市"	null	null	62.0	51
096年04月24日	"台北一"	null	null	40.0	200
096年04月29日	"台北一"	null	null	40.0	50
098年04月09日	"台北一"	null	null	50.0	75
098年04月12日	"台北一"	null	null	50.0	24
098年04月25日	"台北一"	null	null	50.0	100
098年04月28日	"台北一"	null	null	50.0	12
098年04月30日	"台北一"	null	null	50.0	60
099年04月01日	"台北二"	null	null	40.0	40
099年04月07日	"台北二"	null	null	40.0	40
099年04月11日	"台北一"	null	null	40.0	200
099年04月18日	"台北二"	null	null	40.0	40
099年04月30日	"台北二"	null	null	40.0	100
100年04月01日	"台北一"	null	null	45.0	20
100年04月04日	"台中市"	null	null	35.0	30
100年04月08日	"台北一"	null	null	45.0	20
100年04月20日	"台北一"	null	null	45.0	100
100年04月21日	"台北一"	null	null	45.0	40
100年04月23日	"台北一"	null	null	45.0	40
101年04月01日	"台北一"	null	null	45.0	100
101年04月08日	"台北一"	null	null	50.0	100
102年04月02日	"台北二"	null	null	2.0	60
102年04月02日	"台北一"	null	null	4.0	100
102年04月03日	"台北一"	null	null	3.0	100
102年04月06日	"台北二"	null	null	4.0	40
102年04月06日	"台北一"	null	null	2.2	120
102年04月09日	"台北二"	null	null	3.0	40
102年04月09日	"台北一"	null	null	2.0	60
102年04月11日	"台北一"	null	null	2.0	100
102年04月18日	"台北一"	null	null	35.0	75
090年08月23日	"台北一"	null	null	15.0	10
095年08月05日	"台北一"	null	null	70.0	60
095年08月29日	"台北一"	null	null	70.0	45
096年08月01日	"台北一"	null	null	40.0	20
096年08月18日	"台北一"	null	null	50.0	50
096年08月26日	"台北一"	null	null	60.0	50
100年08月11日	"台北一"	null	null	45.0	40
100年08月19日	"台北一"	null	null	45.0	40
100年08月20日	"台北一"	null	null	45.0	40
091年12月15日	"台北一"	null	null	65.0	50
092年12月05日	"台北一"	null	null	60.0	50
092年12月06日	"台北一"	null	null	60.0	120
092年12月13日	"台北一"	null	null	60.0	126
092年12月28日	"台北一"	null	null	80.0	54
092年12月31日	"台北一"	null	null	60.0	50
095年12月01日	"台北一"	null	null	70.0	30
095年12月03日	"台北一"	null	null	70.0	45
095年12月08日	"台北一"	null	null	70.0	40
095年12月14日	"台北一"	null	null	70.0	60
095年12月16日	"台北一"	null	null	70.0	50
095年12月17日	"台北一"	null	null	70.0	100
095年12月20日	"台北一"	null	null	70.0	100
095年12月22日	"台北二"	null	null	50.0	60
095年12月22日	"台北一"	null	null	50.0	50
095年12月24日	"台北一"	null	null	70.0	100
095年12月27日	"台北一"	null	null	70.0	100
095年12月29日	"台北一"	null	null	50.0	50
095年12月31日	"台北一"	null	null	50.0	45
096年12月05日	"台北一"	null	null	50.0	50
096年12月09日	"台北一"	null	null	50.0	50
096年12月12日	"台北一"	null	null	50.0	50
096年12月23日	"台北一"	null	null	50.0	50
096年12月29日	"台北一"	null	null	50.0	50
096年12月30日	"台北一"	null	null	50.0	100
099年12月11日	"台北二"	null	null	40.0	120
099年12月11日	"台北一"	null	null	40.0	130
099年12月12日	"台北一"	null	null	40.0	100
099年12月14日	"台北一"	null	null	40.0	60
099年12月15日	"台北二"	null	null	40.0	20
099年12月16日	"台北一"	null	null	40.0	60
099年12月18日	"台北一"	null	null	40.0	260
099年12月21日	"台北一"	null	null	40.0	260
099年12月24日	"台北二"	null	null	40.0	12
099年12月24日	"台北一"	null	null	40.0	60
099年12月26日	"台北一"	null	null	40.0	75
099年12月28日	"台北二"	null	null	40.0	40
099年12月28日	"台北一"	null	null	40.0	360
099年12月30日	"台北一"	null	null	40.0	100
100年12月21日	"台北二"	null	null	50.0	120
100年12月21日	"台北一"	null	null	45.0	450
100年12月22日	"台北一"	null	null	45.0	100
100年12月27日	"台北二"	null	null	50.0	40
100年12月27日	"台北一"	null	null	45.0	15
100年12月29日	"台北一"	null	null	45.0	100
101年12月01日	"台北一"	null	null	45.0	40
101年12月07日	"台北二"	null	null	50.0	60
101年12月07日	"台北一"	null	null	45.0	180
101年12月08日	"台北一"	null	null	45.0	240
101年12月13日	"台北二"	null	null	50.0	40
101年12月16日	"台北二"	null	null	50.0	20
101年12月18日	"台北一"	null	null	45.0	100
101年12月19日	"台北一"	null	null	45.0	100
101年12月20日	"台北二"	null	null	50.0	20
101年12月20日	"台北一"	null	null	45.0	60
101年12月22日	"台北一"	null	null	45.0	100
101年12月25日	"台北二"	null	null	50.0	20
101年12月25日	"台北一"	null	null	45.0	440
101年12月26日	"台北二"	null	null	50.0	40
085年02月06日	"台北一"	null	null	35.0	50
085年02月10日	"台北一"	null	null	35.0	20
085年02月11日	"台北一"	null	null	35.0	125
085年02月12日	"台北一"	null	null	35.0	175
085年02月13日	"台北一"	null	null	35.0	100
085年02月14日	"台北一"	null	null	35.0	100
085年02月15日	"台北一"	null	null	20.0	510
088年02月04日	"台北一"	null	null	60.0	60
088年02月06日	"台北一"	null	null	60.0	45
088年02月09日	"台北一"	null	null	60.0	18
088年02月10日	"台北一"	null	null	60.0	270
092年02月15日	"台北一"	null	null	40.0	60
093年02月03日	"台北一"	null	null	60.0	75
093年02月05日	"台北一"	null	null	60.0	60
093年02月10日	"台北一"	null	null	60.0	36
093年02月18日	"台北一"	null	null	60.0	45
093年02月21日	"台北一"	null	null	60.0	36
093年02月24日	"台北一"	null	null	60.0	30
093年02月25日	"台北一"	null	null	60.0	75
093年02月26日	"台北一"	null	null	60.0	24
093年02月27日	"台北一"	null	null	60.0	45
093年02月29日	"台北一"	null	null	60.0	30
094年02月06日	"台北一"	null	null	80.0	90
095年02月03日	"台北一"	null	null	50.0	100
095年02月15日	"台北一"	null	null	50.0	80
095年02月18日	"台北一"	null	null	50.0	30
096年02月02日	"台北一"	null	null	40.0	30
096年02月03日	"台北一"	null	null	40.0	30
096年02月04日	"台北二"	null	null	40.0	25
096年02月04日	"台北一"	null	null	40.0	150
096年02月06日	"台北一"	null	null	40.0	30
096年02月08日	"台北一"	null	null	43.5	160
096年02月10日	"台北一"	null	null	40.0	325
096年02月11日	"台北一"	null	null	40.0	150
096年02月13日	"台北二"	null	null	40.0	75
096年02月13日	"台北一"	null	null	40.0	700
096年02月14日	"台北一"	null	null	40.0	200
096年02月15日	"台北一"	null	null	45.0	50
096年02月16日	"台北一"	null	null	40.0	170
096年02月17日	"台北一"	null	null	40.0	350
097年02月01日	"台北二"	null	null	50.0	200
097年02月02日	"台北一"	null	null	50.0	405
097年02月04日	"台北一"	null	null	50.0	100
097年02月21日	"台北一"	null	null	50.0	30
097年02月28日	"台北一"	null	null	50.0	90
098年02月03日	"台北一"	null	null	50.0	40
098年02月13日	"台北一"	null	null	50.0	40
098年02月14日	"台北二"	null	null	50.0	100
098年02月14日	"台北一"	null	null	50.0	45
098年02月17日	"台北一"	null	null	50.0	45
098年02月20日	"台北二"	null	null	50.0	60
098年02月21日	"台北二"	null	null	50.0	20
098年02月21日	"台北一"	null	null	50.0	45
098年02月25日	"台北二"	null	null	50.0	20
098年02月25日	"台北一"	null	null	50.0	100
099年02月03日	"台北一"	null	null	40.0	60
099年02月06日	"台北二"	null	null	40.0	100
099年02月06日	"台北一"	null	null	40.0	200
099年02月07日	"台北一"	null	null	40.0	140
099年02月09日	"台北二"	null	null	40.0	160
099年02月09日	"台北一"	null	null	40.0	200
099年02月10日	"台北一"	null	null	40.0	880
099年02月11日	"台北一"	null	null	40.0	120
099年02月13日	"台北一"	null	null	40.0	40
099年02月20日	"台北一"	null	null	40.0	20
099年02月21日	"台北一"	null	null	40.0	24
099年02月24日	"台北一"	null	null	40.0	40
099年02月25日	"台北一"	null	null	40.0	20
100年02月01日	"台北一"	null	null	50.0	100
100年02月10日	"台北一"	null	null	60.0	40
100年02月12日	"台北一"	null	null	55.0	60
100年02月16日	"台北一"	null	null	55.0	40
100年02月17日	"台北一"	null	null	45.0	60
100年02月22日	"台北二"	null	null	45.0	140
100年02月22日	"台北一"	null	null	35.0	100
101年02月01日	"台北一"	null	null	45.0	40
101年02月04日	"台北一"	null	null	45.0	20
101年02月06日	"台北二"	null	null	50.0	20
101年02月16日	"台北二"	null	null	50.0	20
101年02月17日	"台北一"	null	null	45.0	20
101年02月18日	"台北二"	null	null	50.0	100
101年02月19日	"台北二"	null	null	50.0	100
101年02月29日	"台北一"	null	null	45.0	40
102年02月01日	"台北二"	null	null	8.0	54
102年02月01日	"台北一"	null	null	24.6	254
102年02月02日	"台北二"	null	null	34.8	350
102年02月02日	"台北一"	null	null	15.0	190
102年02月03日	"台北二"	null	null	12.3	170
102年02月03日	"台北一"	null	null	19.3	280
102年02月05日	"台北二"	null	null	15.0	60
102年02月05日	"台北一"	null	null	11.1	190
102年02月06日	"台北二"	null	null	10.0	150
102年02月06日	"台北一"	null	null	35.5	424
102年02月07日	"台北二"	null	null	10.0	60
102年02月08日	"台北二"	null	null	5.0	60
102年02月09日	"台北一"	null	null	45.0	54
102年02月15日	"台北二"	null	null	10.0	60
102年02月16日	"台北二"	null	null	7.0	100
102年02月19日	"台北一"	null	null	8.0	120
102年02月20日	"台北二"	null	null	5.0	60
102年02月20日	"台北一"	null	null	13.8	154
102年02月21日	"台北二"	null	null	4.0	54
102年02月22日	"台北一"	null	null	2.0	190
102年02月23日	"台北一"	null	null	3.0	300
102年02月24日	"台北二"	null	null	2.0	100
102年02月27日	"台北一"	null	null	35.0	54
102年02月28日	"台北二"	null	null	2.0	60
102年02月28日	"台北一"	null	null	6.7	100
086年01月21日	"台北一"	null	null	60.0	25
086年01月22日	"台北一"	null	null	60.0	55
086年01月27日	"台北一"	null	null	60.0	80
086年01月29日	"台北一"	null	null	60.0	210
086年01月30日	"台北一"	null	null	60.0	210
087年01月11日	"台北一"	null	null	60.0	15
087年01月14日	"台北一"	null	null	60.0	60
087年01月17日	"台北一"	null	null	60.0	40
087年01月22日	"台北一"	null	null	60.0	90
087年01月23日	"台北一"	null	null	60.0	280
087年01月24日	"台北一"	null	null	60.0	220
087年01月26日	"台北一"	null	null	80.0	20
088年01月13日	"台北一"	null	null	60.0	15
089年01月12日	"台北一"	null	null	60.0	60
089年01月21日	"台北一"	null	null	80.0	390
089年01月24日	"台北一"	null	null	60.0	36
091年01月13日	"台北一"	null	null	60.0	36
091年01月22日	"台北一"	null	null	74.2	120
091年01月27日	"台北一"	null	null	60.0	84
092年01月02日	"台北一"	null	null	40.0	50
092年01月04日	"台北一"	null	null	60.0	40
092年01月16日	"台北一"	null	null	60.0	140
092年01月19日	"台北一"	null	null	60.0	30
092年01月28日	"台北一"	null	null	52.4	175
093年01月11日	"台北一"	null	null	60.0	60
093年01月13日	"台北一"	null	null	60.0	30
093年01月17日	"台北一"	null	null	60.0	60
093年01月28日	"台北一"	null	null	60.0	100
094年01月20日	"台北二"	null	null	80.0	12
095年01月03日	"台北一"	null	null	60.0	150
095年01月10日	"台北一"	null	null	65.0	95
095年01月17日	"台北一"	null	null	65.0	150
095年01月18日	"台北二"	null	null	65.0	20
095年01月20日	"台北二"	null	null	50.0	180
095年01月20日	"台北一"	null	null	50.0	450
095年01月21日	"台北一"	null	null	50.0	75
096年01月03日	"台北一"	null	null	45.0	100
096年01月05日	"台北二"	null	null	45.0	100
096年01月05日	"台北一"	null	null	45.0	20
096年01月06日	"台北一"	null	null	45.0	200
096年01月20日	"台北一"	null	null	50.0	50
096年01月24日	"台北一"	null	null	45.0	50
096年01月25日	"台北一"	null	null	31.2	70
096年01月26日	"台北一"	null	null	45.0	50
096年01月27日	"台北一"	null	null	20.0	60
096年01月28日	"台北一"	null	null	45.0	50
096年01月30日	"台北一"	null	null	49.7	210
097年01月02日	"台北一"	null	null	50.0	50
097年01月09日	"台北一"	null	null	50.0	45
097年01月10日	"台北一"	null	null	50.0	50
097年01月17日	"台北二"	null	null	50.0	175
097年01月17日	"台北一"	null	null	50.0	100
097年01月20日	"台北一"	null	null	50.0	120
097年01月22日	"台北二"	null	null	50.0	40
097年01月22日	"台北一"	null	null	50.0	150
097年01月23日	"台北二"	null	null	50.0	60
097年01月25日	"台北一"	null	null	50.0	50
097年01月26日	"台北一"	null	null	50.0	60
097年01月27日	"台北一"	null	null	50.0	60
097年01月29日	"台北二"	null	null	50.0	40
097年01月30日	"台北二"	null	null	50.0	40
098年01月11日	"台北二"	null	null	50.0	40
098年01月14日	"台北二"	null	null	50.0	40
098年01月15日	"台北二"	null	null	50.0	20
098年01月17日	"台北二"	null	null	50.0	100
098年01月17日	"台北一"	null	null	50.0	490
098年01月18日	"台北二"	null	null	50.0	60
098年01月20日	"台北二"	null	null	50.0	100
098年01月20日	"台北一"	null	null	50.0	600
098年01月21日	"台北二"	null	null	50.0	40
098年01月21日	"台北一"	null	null	50.0	600
098年01月22日	"台北二"	null	null	50.0	40
098年01月22日	"台北一"	null	null	50.0	400
099年01月05日	"台北二"	null	null	50.0	100
099年01月05日	"台北一"	null	null	50.0	400
099年01月06日	"台北一"	null	null	50.0	400
099年01月09日	"台北一"	null	null	50.0	60
099年01月12日	"台北二"	null	null	50.0	100
099年01月12日	"台北一"	null	null	50.0	300
099年01月15日	"台北一"	null	null	50.0	60
099年01月16日	"台北一"	null	null	50.0	300
099年01月19日	"台北一"	null	null	50.0	60
099年01月23日	"台北二"	null	null	50.0	100
099年01月24日	"台北一"	null	null	50.0	60
099年01月26日	"台北一"	null	null	50.0	200
099年01月27日	"台北一"	null	null	50.0	100
099年01月28日	"台北一"	null	null	40.0	20
099年01月30日	"台北一"	null	null	40.0	36
099年01月31日	"台北二"	null	null	40.0	160
100年01月01日	"台北二"	null	null	40.0	40
100年01月01日	"台北一"	null	null	40.0	100
100年01月04日	"台北一"	null	null	40.0	100
100年01月05日	"台北二"	null	null	40.0	20
100年01月05日	"台北一"	null	null	40.0	200
100年01月07日	"台北二"	null	null	40.0	40
100年01月07日	"台北一"	null	null	40.0	100
100年01月08日	"台北一"	null	null	40.0	200
100年01月11日	"台北二"	null	null	45.0	20
100年01月11日	"台北一"	null	null	40.0	300
100年01月13日	"台北二"	null	null	40.0	30
100年01月14日	"台北一"	null	null	40.0	200
100年01月15日	"台北二"	null	null	40.0	60
100年01月15日	"台北一"	null	null	40.0	120
100年01月18日	"台北二"	null	null	40.0	40
100年01月18日	"台北一"	null	null	50.0	300
100年01月19日	"台北一"	null	null	50.0	60
100年01月20日	"台北二"	null	null	40.0	40
100年01月20日	"台北一"	null	null	50.0	70
100年01月22日	"台北二"	null	null	40.0	40
100年01月22日	"台北一"	null	null	50.0	400
100年01月23日	"台北一"	null	null	50.0	120
100年01月25日	"台北二"	null	null	40.0	80
100年01月25日	"台北一"	null	null	50.0	460
100年01月26日	"台北二"	null	null	45.0	180
100年01月26日	"台北一"	null	null	50.0	580
100年01月27日	"台北一"	null	null	50.0	360
100年01月28日	"台北一"	null	null	50.0	200
100年01月29日	"台北一"	null	null	50.0	100
100年01月30日	"台北二"	null	null	50.0	120
100年01月30日	"台北一"	null	null	50.0	100
100年01月31日	"台北一"	null	null	50.0	400
101年01月13日	"台北二"	null	null	50.0	300
101年01月13日	"台北一"	null	null	45.0	780
101年01月14日	"台北二"	null	null	50.0	140
101年01月14日	"台北一"	null	null	45.0	150
101年01月17日	"台北二"	null	null	50.0	40
101年01月17日	"台北一"	null	null	45.0	200
101年01月18日	"台北二"	null	null	50.0	100
101年01月19日	"台北二"	null	null	50.0	100
101年01月19日	"台北一"	null	null	50.0	490
101年01月20日	"台北一"	null	null	45.0	40
101年01月21日	"台北一"	null	null	45.0	40
101年01月28日	"台北一"	null	null	45.0	20
102年01月04日	"台北一"	null	null	45.0	240
102年01月05日	"台北二"	null	null	50.0	40
102年01月05日	"台北一"	null	null	45.0	100
102年01月08日	"台北一"	null	null	45.0	200
102年01月10日	"台北二"	null	null	50.0	40
102年01月10日	"台北一"	null	null	45.0	100
102年01月11日	"台北二"	null	null	50.0	60
102年01月11日	"台北一"	null	null	45.0	200
102年01月12日	"台北一"	null	null	45.0	80
102年01月15日	"台北一"	null	null	45.0	200
102年01月16日	"台北二"	null	null	50.0	40
102年01月17日	"台北二"	null	null	50.0	60
102年01月17日	"台北一"	null	null	45.0	90
102年01月18日	"台北一"	null	null	45.0	36
102年01月19日	"台北二"	null	null	50.0	40
102年01月19日	"台北一"	null	null	45.0	200
102年01月20日	"台北二"	null	null	50.0	40
102年01月22日	"台北二"	null	null	50.0	40
102年01月22日	"台北一"	null	null	45.0	100
102年01月23日	"台北一"	null	null	45.0	140
102年01月24日	"台北一"	null	null	34.2	234
102年01月25日	"台北二"	null	null	50.0	40
102年01月25日	"台北一"	null	null	31.0	340
102年01月26日	"台北二"	null	null	20.0	150
102年01月26日	"台北一"	null	null	24.8	280
102年01月27日	"台北二"	null	null	20.7	150
102年01月27日	"台北一"	null	null	15.0	340
102年01月29日	"台北二"	null	null	13.3	150
102年01月29日	"台北一"	null	null	16.0	280
102年01月30日	"台北二"	null	null	15.0	90
102年01月30日	"台北一"	null	null	24.8	250
102年01月31日	"台北二"	null	null	8.4	54
102年01月31日	"台北一"	null	null	13.0	114
093年07月04日	"台北一"	null	null	17.0	9
095年07月08日	"台北一"	null	null	70.0	40
095年07月25日	"台北一"	null	null	80.0	20
095年07月29日	"台北一"	null	null	70.0	40
096年07月07日	"台北一"	null	null	40.0	50
096年07月10日	"台北一"	null	null	40.0	30
096年07月24日	"台北一"	null	null	40.0	30
096年07月25日	"台北一"	null	null	40.0	20
096年07月28日	"台北一"	null	null	40.0	30
100年07月19日	"台北一"	null	null	45.0	40
093年06月12日	"台北一"	null	null	80.0	60
093年06月18日	"台北一"	null	null	80.0	75
094年06月06日	"花蓮市"	null	null	8.0	82
095年06月03日	"台北一"	null	null	45.0	20
095年06月06日	"台北一"	null	null	45.0	20
095年06月11日	"台北一"	null	null	50.0	100
095年06月13日	"台北一"	null	null	45.0	30
095年06月14日	"台北一"	null	null	55.0	45
095年06月17日	"台北一"	null	null	60.0	45
095年06月23日	"台北一"	null	null	40.0	30
095年06月29日	"台北一"	null	null	50.0	30
096年06月01日	"台北一"	null	null	40.0	20
096年06月03日	"台北一"	null	null	40.0	20
096年06月09日	"台北一"	null	null	40.0	60
096年06月15日	"台北一"	null	null	40.0	50
096年06月16日	"台北一"	null	null	40.0	30
096年06月28日	"台北一"	null	null	40.0	20
096年06月30日	"台北一"	null	null	40.0	20
097年06月08日	"台北一"	null	null	65.0	132
100年06月02日	"台北一"	null	null	45.0	20
100年06月14日	"台北一"	null	null	45.0	40
100年06月23日	"台北一"	null	null	45.0	40
090年03月09日	"高雄市"	null	null	3.3	150
091年03月03日	"台北一"	null	null	80.0	20
092年03月27日	"台北一"	null	null	60.0	30
093年03月02日	"台北一"	null	null	60.0	24
093年03月05日	"台北一"	null	null	65.0	60
093年03月06日	"台北一"	null	null	80.0	60
093年03月11日	"台北一"	null	null	80.0	75
093年03月16日	"台北一"	null	null	60.0	30
093年03月17日	"台北一"	null	null	60.0	45
093年03月21日	"台北一"	null	null	60.0	30
093年03月23日	"台北一"	null	null	80.0	75
093年03月26日	"台北一"	null	null	60.0	30
093年03月27日	"台北一"	null	null	60.0	75
093年03月28日	"台北一"	null	null	60.0	75
095年03月04日	"台北一"	null	null	50.0	50
095年03月08日	"台北一"	null	null	50.0	36
095年03月09日	"台北一"	null	null	50.0	100
095年03月12日	"台北一"	null	null	50.0	20
095年03月17日	"台北二"	null	null	50.0	45
095年03月17日	"台北一"	null	null	50.0	24
096年03月08日	"台北一"	null	null	40.0	100
096年03月13日	"台北一"	null	null	40.0	50
096年03月20日	"台北一"	null	null	40.0	30
097年03月09日	"台北一"	null	null	50.0	50
097年03月13日	"台北一"	null	null	30.0	50
097年03月20日	"台北一"	null	null	50.0	75
097年03月23日	"台北一"	null	null	50.0	45
097年03月26日	"台北一"	null	null	50.0	75
097年03月27日	"台北一"	null	null	50.0	45
097年03月29日	"台北一"	null	null	50.0	30
098年03月04日	"台北二"	null	null	50.0	140
098年03月22日	"台北一"	null	null	55.0	75
098年03月25日	"台北一"	null	null	50.0	45
098年03月29日	"台北一"	null	null	50.0	75
099年03月04日	"台北一"	null	null	40.0	140
099年03月07日	"台北一"	null	null	40.0	100
099年03月11日	"台北一"	null	null	40.0	140
099年03月13日	"台北一"	null	null	30.0	120
099年03月20日	"台北二"	null	null	40.0	40
099年03月23日	"台北二"	null	null	40.0	40
099年03月23日	"台北一"	null	null	40.0	100
100年03月03日	"台北一"	null	null	45.0	100
100年03月05日	"台北一"	null	null	45.0	200
100年03月09日	"台北一"	null	null	45.0	40
100年03月12日	"台北一"	null	null	45.0	40
100年03月17日	"台北一"	null	null	40.0	40
100年03月18日	"台北一"	null	null	45.0	20
100年03月19日	"台北一"	null	null	45.0	20
100年03月24日	"台北一"	null	null	45.0	40
101年03月08日	"台北二"	null	null	50.0	54
101年03月29日	"台北一"	null	null	15.0	20
102年03月02日	"台北一"	null	null	11.0	154
102年03月05日	"台北二"	null	null	10.0	60
102年03月05日	"台北一"	null	null	10.3	154
102年03月06日	"台北一"	null	null	35.0	18
102年03月07日	"台北二"	null	null	7.0	60
102年03月07日	"台北一"	null	null	7.0	60
102年03月08日	"台北二"	null	null	5.0	60
102年03月08日	"台北一"	null	null	3.0	60
102年03月12日	"台北一"	null	null	35.0	36
102年03月13日	"台北二"	null	null	3.0	60
102年03月13日	"台北一"	null	null	4.0	100
102年03月15日	"台北二"	null	null	2.0	60
102年03月15日	"台北一"	null	null	3.7	100
102年03月16日	"台北二"	null	null	2.0	60
102年03月16日	"台北一"	null	null	11.0	154
102年03月17日	"台北一"	null	null	2.0	36
102年03月19日	"台北二"	null	null	3.0	60
