date	mktname	sbtype	transformation	middleprice	quantity
095年04月16日	"台北一"	null	null	85.8	108
096年04月01日	"台北一"	null	null	100.0	50
096年04月03日	"台北一"	null	null	150.0	45
096年04月07日	"台北一"	null	null	120.7	26
096年04月10日	"台北一"	null	null	152.2	45
096年04月11日	"台北一"	null	null	130.0	15
096年04月12日	"台北一"	null	null	170.0	30
096年04月13日	"台北一"	null	null	150.0	15
096年04月15日	"台北一"	null	null	130.0	30
096年04月17日	"台北一"	null	null	170.0	30
096年04月18日	"台北一"	null	null	120.0	15
096年04月22日	"台北一"	null	null	92.7	80
096年04月24日	"台北一"	null	null	79.6	223
096年04月26日	"台北一"	null	null	110.0	30
096年04月27日	"台北一"	null	null	103.2	85
096年04月28日	"台北一"	null	null	120.0	15
096年04月29日	"台北一"	null	null	105.3	65
097年04月01日	"台北一"	null	null	68.0	12
097年04月02日	"台北一"	null	null	60.0	36
097年04月03日	"台北一"	null	null	60.0	60
097年04月06日	"台北一"	null	null	140.2	36
097年04月07日	"台北一"	null	null	50.0	36
097年04月08日	"台北一"	null	null	60.5	144
097年04月09日	"台北一"	null	null	46.5	96
097年04月10日	"台北一"	null	null	56.7	60
097年04月11日	"台北一"	null	null	50.0	108
097年04月12日	"台北一"	null	null	60.0	24
097年04月13日	"台北一"	null	null	53.9	78
097年04月15日	"台北一"	null	null	47.5	120
097年04月16日	"台北一"	null	null	47.3	72
097年04月17日	"台北一"	null	null	42.9	84
097年04月19日	"台北一"	null	null	57.0	176
097年04月20日	"台北一"	null	null	54.2	132
097年04月22日	"台北一"	null	null	40.0	104
097年04月23日	"台北一"	null	null	45.0	168
097年04月24日	"台北一"	null	null	40.0	120
097年04月25日	"台北一"	null	null	39.7	524
097年04月26日	"台北一"	null	null	45.3	412
097年04月27日	"台北一"	null	null	44.9	407
097年04月29日	"台北一"	null	null	42.2	504
097年04月30日	"台北一"	null	null	42.1	425
098年04月03日	"台北一"	null	null	66.0	21
098年04月07日	"台北一"	null	null	56.4	72
098年04月09日	"台北一"	null	null	60.0	33
098年04月10日	"台北一"	null	null	53.9	39
098年04月11日	"台北一"	null	null	15.0	54
098年04月12日	"台北一"	null	null	62.2	21
098年04月14日	"台北一"	null	null	50.0	144
098年04月16日	"台北一"	null	null	47.3	77
098年04月17日	"台北一"	null	null	41.8	147
098年04月18日	"台北一"	null	null	39.6	213
098年04月19日	"台北一"	null	null	46.3	196
098年04月21日	"台北一"	null	null	36.9	307
098年04月22日	"台北一"	null	null	37.0	112
098年04月23日	"台北二"	null	null	60.0	87
098年04月23日	"台北一"	null	null	34.2	215
098年04月24日	"台北一"	null	null	10.0	40
098年04月25日	"台北二"	null	null	50.0	23
098年04月25日	"台北一"	null	null	35.2	374
098年04月26日	"台北一"	null	null	42.1	198
098年04月28日	"台北一"	null	null	38.5	385
